comunidad,url
cantabria,https://www.airbnb.es/rooms/51898914?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-21&check_out=2023-09-26&source_impression_id=p3_1691085605_37EXDXZ4W73raOwv&previous_page_section_name=1000&federated_search_id=165772be-497f-4967-b576-093d06c97458
extremadura,https://www.airbnb.es/rooms/46138058?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086394_gClPWHJVaiZ0rbzT&previous_page_section_name=1000&federated_search_id=3b698b64-ef89-4948-a5e9-328b47769f00
navarra,https://www.airbnb.es/rooms/45591148?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1691085703_%2BkPPv1lBdqTHQWe1&previous_page_section_name=1000&federated_search_id=8ba610ee-e12b-4def-a2c0-2f1ceedda312
cataluña,https://www.airbnb.es/rooms/894715768756649147?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691085962_xVh%2FFh4Q35Mhc93c&previous_page_section_name=1000&federated_search_id=f8be4b51-abe7-4e67-a12c-926348d51ab9
asturias,https://www.airbnb.es/rooms/800763209888049620?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691085518_siVAQtfMamwMnXMF&previous_page_section_name=1000&federated_search_id=ce6bf819-7ded-4a23-bae0-f778ba28ce81
aragon,https://www.airbnb.es/rooms/49974445?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085853_R0wZ8temtJ4Gq%2BGH&previous_page_section_name=1000&federated_search_id=ba022d98-3c62-4067-8336-c263ecc4524d
baleares,https://www.airbnb.es/rooms/948387525866291375?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-01&check_out=2024-01-06&source_impression_id=p3_1691086649_IXu52SZ3X%2FOoehgs&previous_page_section_name=1000&federated_search_id=b1308137-9ad7-46c4-affa-cddb405cec45
melilla,https://www.airbnb.es/rooms/19152234?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-09-01&source_impression_id=p3_1691086574_Wn46RzBeh%2B6cXlsJ&previous_page_section_name=1000&federated_search_id=3cf6f526-eba1-4e11-aadf-21370dfc209d
extremadura,https://www.airbnb.es/rooms/53290074?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086398_m1ynesj8pB%2FEGHVD&previous_page_section_name=1000&federated_search_id=f2cb83dc-d7c3-4b43-bb23-2c37d1a339df
castilla_la_mancha,https://www.airbnb.es/rooms/581168409172542159?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691086240_oyyZL8KgGQT2n34V&previous_page_section_name=1000&federated_search_id=965f6993-bec5-49a6-a3af-420b949734a7
navarra,https://www.airbnb.es/rooms/853724772769484683?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691085731_8rQx2De8wRogJK0l&previous_page_section_name=1000&federated_search_id=db3936bb-34ca-4be5-bbf1-72b0102a1134
baleares,https://www.airbnb.es/rooms/37742115?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-13&check_out=2023-09-19&source_impression_id=p3_1691086626_2%2F7SR02%2FGrUDzBni&previous_page_section_name=1000&federated_search_id=25d6f8ef-1426-4009-a1a6-b007ee094b9b
aragon,https://www.airbnb.es/rooms/947578767317922188?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691085861_W9SFKOocKh3Ta2H4&previous_page_section_name=1000&federated_search_id=50aa6b5f-0da8-4a55-8cd5-666dd138e930
aragon,https://www.airbnb.es/rooms/30262003?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085857_pJgKu%2FRdiPlP8FZ0&previous_page_section_name=1000&federated_search_id=54519720-41e4-472a-9c3b-43affb34cd3b
andalucia,https://www.airbnb.es/rooms/897673260357390534?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-29&check_out=2023-09-03&source_impression_id=p3_1691086477_l6lLk8AjuPm2Pq6C&previous_page_section_name=1000&federated_search_id=8ba10d56-a89b-4437-85ab-75751c8b3070
la_rioja,https://www.airbnb.es/rooms/22273962?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-29&source_impression_id=p3_1691085766_NnVCLoI97GEZ6ehA&previous_page_section_name=1000&federated_search_id=24d89555-bc4f-4054-a78b-936ec0fbb1de
la_rioja,https://www.airbnb.es/rooms/22784759?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-23&source_impression_id=p3_1691085787_m8CU5XZ3KfbRmnlH&previous_page_section_name=1000&federated_search_id=01f2f90f-8128-42ac-9f99-def30dbc19e3
andalucia,https://www.airbnb.es/rooms/930857404520011589?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-07&check_out=2023-10-12&source_impression_id=p3_1691086432_SPVqoRNLjcYgJ2cj&previous_page_section_name=1000&federated_search_id=d5e92cc4-b63f-4524-8b64-f1d3557f1087
navarra,https://www.airbnb.es/rooms/862991479586314493?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085735_YlPJ4KLnFjDCWGmI&previous_page_section_name=1000&federated_search_id=4aa57621-a0f6-4e2a-a42d-7cb540e7e756
baleares,https://www.airbnb.es/rooms/51553334?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-26&check_out=2023-11-02&source_impression_id=p3_1691086695_%2BtYmjWwdGGB9BKAw&previous_page_section_name=1000&federated_search_id=b833ca95-0eed-48ed-97d3-9a3a110e78a3
andalucia,https://www.airbnb.es/rooms/4837151?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691086465_gP2ACuUB3ITNhee5&previous_page_section_name=1000&federated_search_id=169d9bbd-c634-402b-b9a1-333da7c9ec2d
madrid,https://www.airbnb.es/rooms/32936677?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086090_OTmjBaR3CowYmSvA&previous_page_section_name=1000&federated_search_id=6b4b3f9c-2140-42ff-b81f-afe18f16e705
castilla_y_leon,https://www.airbnb.es/rooms/15954935?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-09-30&source_impression_id=p3_1691086005_GbDxBK0cLIL7bXrd&previous_page_section_name=1000&federated_search_id=701ea364-b440-4ade-bce4-8abe8639d2cb
aragon,https://www.airbnb.es/rooms/747868999677935341?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691085880_atlhZid0DwaTv0cq&previous_page_section_name=1000&federated_search_id=6b5b0ba2-3956-4ead-b3ac-bb3d20f2dc73
aragon,https://www.airbnb.es/rooms/16781231?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691085884_Yj8COZ9x5aEW2gCC&previous_page_section_name=1000&federated_search_id=415aca3a-0056-44d2-aef3-28d018fdea57
ceuta,https://www.airbnb.es/rooms/43737045?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691086516_JtuahNWYG3G%2FX6Ud&previous_page_section_name=1000&federated_search_id=0a1cc9de-7115-40ba-b24c-e3a72d7676cc
cataluña,https://www.airbnb.es/rooms/39686598?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-05&check_out=2023-10-11&source_impression_id=p3_1691085893_T7Xz8lD%2B4vAFhv2p&previous_page_section_name=1000&federated_search_id=5ac28c9a-32b9-4268-82aa-363072527ba9
castilla_la_mancha,https://www.airbnb.es/rooms/2680009?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&source_impression_id=p3_1691086244_2sLUE278wnpy6RMO&previous_page_section_name=1000&federated_search_id=39cbfae6-f721-4263-a31e-4869c5a4f1f2
galicia,https://www.airbnb.es/rooms/36860485?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-29&check_out=2023-10-04&source_impression_id=p3_1691085419_F6BNy%2FcRM9%2FshZa4&previous_page_section_name=1000&federated_search_id=35f1baf4-7172-46fc-8a8c-cec85d19a936
madrid,https://www.airbnb.es/rooms/46522070?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691086077_XFihFtK%2FaXCkcYEe&previous_page_section_name=1000&federated_search_id=bc0595a8-b236-4d91-851e-6f8b0e410d75
comunidad_valenciana,https://www.airbnb.es/rooms/667833844815557835?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-27&source_impression_id=p3_1691086165_LkdsoRsGmWxj4KKE&previous_page_section_name=1000&federated_search_id=959d051f-edb6-4036-b150-c3c8401069dc
murcia,https://www.airbnb.es/rooms/795705664400141122?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086257_5Qtz9wREm%2F7oDAsf&previous_page_section_name=1000&federated_search_id=7a961ff4-aa72-4033-b352-08eddcb03fa9
cantabria,https://www.airbnb.es/rooms/673060725348972125?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&source_impression_id=p3_1691085567_FFIQzRpanmOjgjAt&previous_page_section_name=1000&federated_search_id=2389c15b-9aec-4d72-8904-d53357b810db
galicia,https://www.airbnb.es/rooms/642724739426807667?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691085435_ko9bMuwIMgXHo8mw&previous_page_section_name=1000&federated_search_id=0954f288-876f-4c03-a747-bbf0227fe003
navarra,https://www.airbnb.es/rooms/14478583?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691085744_lGO%2F8XMRei86w8hu&previous_page_section_name=1000&federated_search_id=5fc13d75-1b8a-4ea6-8b01-649fb2eda7e8
castilla_la_mancha,https://www.airbnb.es/rooms/826715690163409318?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691086244_PZqTyp9v%2BqxClNbj&previous_page_section_name=1000&federated_search_id=39cbfae6-f721-4263-a31e-4869c5a4f1f2
pais_vasco,https://www.airbnb.es/rooms/727926995317849280?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-30&source_impression_id=p3_1691085643_axoE26AptnBR%2B3f%2F&previous_page_section_name=1000&federated_search_id=9b5510f0-c480-47ce-85f4-88831ad3a9d3
murcia,https://www.airbnb.es/rooms/918440597140380139?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086319_1eK2ovm%2F8AShVgT5&previous_page_section_name=1000&federated_search_id=34fc98ec-6c22-46ed-86e3-b6315020057a
castilla_y_leon,https://www.airbnb.es/rooms/19179248?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086029_aHvrN3mYi3BzU%2BDp&previous_page_section_name=1000&federated_search_id=c6b611c9-94f0-4797-89a3-cbf8f10fa52b
galicia,https://www.airbnb.es/rooms/942497074736105374?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-23&source_impression_id=p3_1691085439_7SggNje3ZsxsxwZQ&previous_page_section_name=1000&federated_search_id=341d5032-57e7-4880-aa07-61633be520b1
cantabria,https://www.airbnb.es/rooms/938121588023887083?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-05&source_impression_id=p3_1691085588_ME8O2PlX8LNPrpnd&previous_page_section_name=1000&federated_search_id=6bdde363-927f-41b0-8b02-718ea1927f4a
baleares,https://www.airbnb.es/rooms/948264166971577059?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1691086649_OYyZ%2FcED3tlz8PXP&previous_page_section_name=1000&federated_search_id=b1308137-9ad7-46c4-affa-cddb405cec45
cantabria,https://www.airbnb.es/rooms/29386007?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1691085601_jB0%2By9XCsevREPqn&previous_page_section_name=1000&federated_search_id=910a17d7-acf3-4c82-a75d-d145a4cbce5a
la_rioja,https://www.airbnb.es/rooms/10901422?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-26&source_impression_id=p3_1691085775_1IYJ0tE7653wA%2Fao&previous_page_section_name=1000&federated_search_id=3e2967f0-fc2d-47b9-9dde-05091ae955ee
galicia,https://www.airbnb.es/rooms/49811608?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691085427_iB6c1dAbeJOCvLuX&previous_page_section_name=1000&federated_search_id=43f0cc97-1db5-4878-899d-4b46768c551e
comunidad_valenciana,https://www.airbnb.es/rooms/887460293022027673?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691086152_44NpziJR4tYv4Egc&previous_page_section_name=1000&federated_search_id=a6941712-f067-45b8-8a9c-74654d86b617
andalucia,https://www.airbnb.es/rooms/38069921?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1691086435_tsBMU7O5tOASRIJi&previous_page_section_name=1000&federated_search_id=380b503c-6271-433c-acd7-b4d90eb22511
ceuta,https://www.airbnb.es/rooms/753214717052328828?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-13&source_impression_id=p3_1691086499_OV2vy7eeARkQuzVf&previous_page_section_name=1000&federated_search_id=3f4508eb-959a-4b83-8f53-6b894315fc56
aragon,https://www.airbnb.es/rooms/5479657?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-28&check_out=2023-10-03&source_impression_id=p3_1691085849_6IekpJ1ffN61n9O1&previous_page_section_name=1000&federated_search_id=9e8bebd6-f01c-4788-ae07-7f837bb5f471
cantabria,https://www.airbnb.es/rooms/893913069745776043?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085584_T8WaexOgP%2B%2FT7oxa&previous_page_section_name=1000&federated_search_id=4cf0edb4-cf4e-4162-abfd-d626d7ecff2a
andalucia,https://www.airbnb.es/rooms/49451663?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086456_Wlvhyaa063fx%2FF8Z&previous_page_section_name=1000&federated_search_id=4682e3d6-9cec-422e-9724-ac12b125e123
cantabria,https://www.airbnb.es/rooms/668602560046939883?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-14&check_out=2023-09-21&source_impression_id=p3_1691085605_sKXukPbMg8irwz8i&previous_page_section_name=1000&federated_search_id=165772be-497f-4967-b576-093d06c97458
comunidad_valenciana,https://www.airbnb.es/rooms/821138004482304281?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691086173_oqt%2Fw9lRGRk%2B0vI5&previous_page_section_name=1000&federated_search_id=ae0a102e-1015-41c0-9776-8a1a955aa239
ceuta,https://www.airbnb.es/rooms/941304871979718127?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086520_on%2Fn11rE0Yq3kBIW&previous_page_section_name=1000&federated_search_id=24264967-4eb2-45b7-bfb3-1fa9b640c30d
madrid,https://www.airbnb.es/rooms/43936777?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086037_HV%2FJUDKitTzQ6l1S&previous_page_section_name=1000&federated_search_id=f280c5e3-f087-4215-b21f-4a719dcb395f
castilla_la_mancha,https://www.airbnb.es/rooms/7238550?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1691086200_IFvN4gH0ZsNpA0i2&previous_page_section_name=1000&federated_search_id=c1b3c795-0090-4bde-b282-f72c46a36b04
pais_vasco,https://www.airbnb.es/rooms/15489461?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-21&check_out=2023-09-27&source_impression_id=p3_1691085660_lcQ699TICfB6yWkS&previous_page_section_name=1000&federated_search_id=bcf83050-693f-41f6-a69e-8086eeb4ced7
asturias,https://www.airbnb.es/rooms/998538?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-21&check_out=2023-09-26&source_impression_id=p3_1691085494_K8lU4hEsqxA8dmzY&previous_page_section_name=1000&federated_search_id=f88be479-1047-4f45-baf9-e492fad3e12c
navarra,https://www.airbnb.es/rooms/24331684?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1691085715_vqexP%2Fv6ecGwhsJQ&previous_page_section_name=1000&federated_search_id=56966045-f5af-4a4f-8d06-633587c2fd56
madrid,https://www.airbnb.es/rooms/823742677373423120?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691086056_PX%2F1Ps2WCDPS4RPt&previous_page_section_name=1000&federated_search_id=7271927e-f2e8-462d-bf04-a7a8fb362da9
navarra,https://www.airbnb.es/rooms/920257508284622426?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691085728_sFQlN%2BP7dtPVrLqS&previous_page_section_name=1000&federated_search_id=b498fda4-4a78-4059-b4ca-275b73c5a549
